"releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"64475031","YouTube","We Have An Obligation To Those Men And Women Long After They’re Discharged From The Military","2015-11-13 16:48:06Z","http://www.youtube.com/watch?v=FxEoiu70CVA","[men;obligation]","[]","[]","[Iowa;Cedar Falls]","[]","","","","","26","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64475047","YouTube","Rigged Economy","2015-11-13 17:04:56Z","http://www.youtube.com/watch?v=f3hDNpg6IQc","[economy;system;political system;corrupt political system]","[Bernie Sanders]","[]","[]","[Political Systems]","","","","","21","Sen. Sanders, Bernard - (I – VT) Presidential Campaign ","Democrat","Male","True","Candidates > Presidential 2016","Undergraduate","Jewish","White","1941-09-08","Over 65","[Higher Education;Journalism;Trade - Carpenter]","","[Federal;Local]"
"64482683","YouTube","Ted Cruz at the Republican Party of Florida Sunshine Summit","2015-11-13 18:30:59Z","http://www.youtube.com/watch?v=J30s0vT3Wn4","[]","[Ted Cruz]","[]","[]","[]","","","","","11","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"64485959","YouTube","Rand Paul Speaks In New Hampshire 11-13-2015","2015-11-13 19:52:53Z","http://www.youtube.com/watch?v=L1G-jTc00fs","[gear;machine;future generations;american dream]","[]","[]","[New Hampshire;Washington]","[]","","","","","61","Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"64491849","YouTube","Marco Speaks at 2015 Sunshine Summit","2015-11-13 22:00:08Z","http://www.youtube.com/watch?v=_jq6XsrPqc8","[]","[]","[]","[]","[]","","","","","6","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64495683","YouTube","Marco Sits Down With WOFL in Orlando","2015-11-14 00:00:44Z","http://www.youtube.com/watch?v=DGr68-2SIZ0","[fox]","[]","[]","[Orlando]","[]","","","","","9","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64499491","YouTube","Gov. John Kasich's Remarks on the Paris Terrorist Attacks","2015-11-14 02:51:44Z","http://www.youtube.com/watch?v=Bky58itpHBI","[terrorist attacks;attacks]","[John Kasich]","[]","[New Hampshire;Paris;Laconia]","[Terrorism]","","","","","27","Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"64508977","YouTube","Ted Cruz Discusses the Paris Terrorist Attacks on Fox and Friends","2015-11-14 15:43:50Z","http://www.youtube.com/watch?v=NrOQQkY1bxQ","[attacks]","[Ted Cruz]","[]","[Paris]","[Terrorism]","","","","","11","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"64511977","YouTube","Flashback: Rep. Bernie Sanders Opposes Iraq War","2015-11-14 18:10:52Z","http://www.youtube.com/watch?v=_om-x323Em0","[floor;flashback]","[Bernie Sanders]","[]","[Iraq]","[]","","","","","29","Sen. Sanders, Bernard - (I – VT) Presidential Campaign ","Democrat","Male","True","Candidates > Presidential 2016","Undergraduate","Jewish","White","1941-09-08","Over 65","[Higher Education;Journalism;Trade - Carpenter]","","[Federal;Local]"
"64511979","YouTube","Marco Responds to the Paris Attacks","2015-11-14 18:19:22Z","http://www.youtube.com/watch?v=TBFwDvXfSUo","[attacks]","[]","[]","[Paris]","[]","","","","","6","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64514079","YouTube","Rubio: This is a Clash of Civilizations. Either They Win or We Win.","2015-11-14 18:49:04Z","http://www.youtube.com/watch?v=q8qa2ZRaOmc","[clash]","[]","[]","[]","[]","","","","","13","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64527715","YouTube","CNN 11 14 2015 Re: Paris terror attacks","2015-11-14 21:02:20Z","http://www.youtube.com/watch?v=N26M2XNbE0Q","[attacks;terror;terror attacks]","[]","[]","[Paris]","[]","","","","","8","Huckabee, Mike (R) Presidential Campaign ","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Protestant","White","1955-08-24","55-64","[Religious]","","[State]"
"64527451","YouTube","It's Time To Have A President Who Sees The World As It Really Is, Not How He Wishes It Would Be","2015-11-14 21:11:45Z","http://www.youtube.com/watch?v=7Pl4MRzOkn8","[speech]","[]","[]","[]","[]","","","","","29","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64537931","YouTube","Gov. John Kasich's Full Remarks at the Florida GOP's Sunshine Summit","2015-11-14 21:41:34Z","http://www.youtube.com/watch?v=f30YSwSgcF8","[remarks;full remarks]","[]","[]","[Orlando]","[]","","","","","26","Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"64543735","YouTube","Our Enemy: Radical Islamic Terrorism","2015-11-15 02:05:23Z","http://www.youtube.com/watch?v=PWWR957_Mow","[terrorist attacks;enemy;attacks]","[Ted Cruz]","[]","[Paris]","[Terrorism]","","","","","14","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"64553023","YouTube","Marco Responds to the Paris Attacks on This Week","2015-11-15 15:28:09Z","http://www.youtube.com/watch?v=RVCip5B8P6c","[week;attacks]","[]","[]","[Paris]","[]","","","","","9","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64554931","YouTube","Marco Sits Down With Howard Kurtz on MediaBuzz","2015-11-15 17:08:09Z","http://www.youtube.com/watch?v=udSmRJXtYac","[]","[Howard Kurtz]","[]","[]","[]","","","","","8","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
