"","Date","Pos","Neg","Neutral"
"111",2015-07-12,0,0.428571428571429,0.571428571428571
"112",2015-07-13,0,0.4,0.6
"113",2015-07-14,0.357142857142857,0.214285714285714,0.428571428571429
"114",2015-07-15,0.0769230769230769,0.307692307692308,0.615384615384615
"115",2015-07-16,0.272727272727273,0.181818181818182,0.545454545454545
"116",2015-07-17,0.545454545454545,0.0909090909090909,0.363636363636364
"117",2015-07-18,0.4,0.333333333333333,0.266666666666667
"118",2015-07-19,0,1,0
"119",2015-07-20,0.571428571428571,0.142857142857143,0.285714285714286
"120",2015-07-21,0.363636363636364,0.0909090909090909,0.545454545454545
"121",2015-07-22,0.444444444444444,0.166666666666667,0.388888888888889
"122",2015-07-23,0.157894736842105,0.526315789473684,0.315789473684211
"123",2015-07-24,0.333333333333333,0.4,0.266666666666667
"124",2015-07-25,0,0.5,0.5
"125",2015-07-26,0.142857142857143,0.571428571428571,0.285714285714286
"126",2015-07-27,0.3,0.5,0.2
"127",2015-07-28,0.1875,0.3125,0.5
"128",2015-07-29,0.166666666666667,0.166666666666667,0.666666666666667
"129",2015-07-30,0.3,0,0.7
"130",2015-07-31,0.333333333333333,0.222222222222222,0.444444444444444
"131",2015-08-01,0,0,1
"132",2015-08-02,0,0.285714285714286,0.714285714285714
"133",2015-08-03,0.133333333333333,0.133333333333333,0.733333333333333
"134",2015-08-04,0.238095238095238,0.0952380952380952,0.666666666666667
"135",2015-08-05,0.416666666666667,0.166666666666667,0.416666666666667
"136",2015-08-06,0.419354838709677,0.032258064516129,0.548387096774194
"137",2015-08-07,0.375,0.104166666666667,0.520833333333333
"138",2015-08-08,0.466666666666667,0.0666666666666667,0.466666666666667
"139",2015-08-09,0.304347826086957,0.0434782608695652,0.652173913043478
"140",2015-08-10,0.354838709677419,0.0967741935483871,0.548387096774194
"141",2015-08-11,0.392857142857143,0.0357142857142857,0.571428571428571
"142",2015-08-12,0.411764705882353,0.0588235294117647,0.529411764705882
"143",2015-08-13,0.511627906976744,0.0465116279069767,0.441860465116279
"144",2015-08-14,0.482758620689655,0.0689655172413793,0.448275862068966
"145",2015-08-15,0.192307692307692,0.307692307692308,0.5
"146",2015-08-16,1,0,0
"147",2015-08-17,0.166666666666667,0.5,0.333333333333333
"148",2015-08-18,0.2,0.2,0.6
"149",2015-08-19,0.454545454545455,0.272727272727273,0.272727272727273
"150",2015-08-20,0.714285714285714,0.142857142857143,0.142857142857143
"151",2015-08-21,0.473684210526316,0,0.526315789473684
"152",2015-08-22,0.344827586206897,0.155172413793103,0.5
"153",2015-08-23,0.833333333333333,0,0.166666666666667
"154",2015-08-24,0,0.25,0.75
"155",2015-08-25,0.272727272727273,0.272727272727273,0.454545454545455
